UID          PID    PPID  C STIME TTY          TIME CMD
root          84       2  0 15:49 ?        00:00:00 [kswapd0]
root          85       2  0 15:49 ?        00:00:00 [ecryptfs-kthrea]
root          87       2  0 15:49 ?        00:00:00 [kthrotld]
root          88       2  0 15:49 ?        00:00:00 [acpi_thermal_pm]
root          90       2  0 15:49 ?        00:00:00 [scsi_eh_0]
root          91       2  0 15:49 ?        00:00:00 [scsi_tmf_0]
root          92       2  0 15:49 ?        00:00:00 [scsi_eh_1]
root          93       2  0 15:49 ?        00:00:00 [scsi_tmf_1]
root          95       2  0 15:49 ?        00:00:00 [vfio-irqfd-clea]
root          96       2  0 15:49 ?        00:00:00 [mld]
root          97       2  0 15:49 ?        00:00:00 [ipv6_addrconf]
root         100       2  0 15:49 ?        00:00:00 [kworker/u2:5-ext4-rsv-conversion]
root         101       2  0 15:49 ?        00:00:01 [kworker/0:2-events]
root         109       2  0 15:49 ?        00:00:00 [kstrp]
root         112       2  0 15:49 ?        00:00:00 [zswap-shrink]
root         113       2  0 15:49 ?        00:00:00 [kworker/u3:0]
root         118       2  0 15:49 ?        00:00:00 [charger_manager]
root         162       2  0 15:49 ?        00:00:00 [scsi_eh_2]
root         163       2  0 15:49 ?        00:00:00 [scsi_tmf_2]
root         183       2  0 15:49 ?        00:00:00 [jbd2/sda5-8]
root         184       2  0 15:49 ?        00:00:00 [ext4-rsv-conver]
root         224       1  0 15:49 ?        00:00:00 /lib/systemd/systemd-journald
root         250       2  0 15:49 ?        00:00:00 [ttm_swap]
root         251       2  0 15:49 ?        00:00:00 [irq/18-vmwgfx]
root         252       2  0 15:49 ?        00:00:00 [card0-crtc0]
root         253       2  0 15:49 ?        00:00:00 [card0-crtc1]
root         254       2  0 15:49 ?        00:00:00 [card0-crtc2]
root         255       2  0 15:49 ?        00:00:00 [card0-crtc3]
root         256       2  0 15:49 ?        00:00:00 [card0-crtc4]
root         257       2  0 15:49 ?        00:00:00 [card0-crtc5]
root         258       2  0 15:49 ?        00:00:00 [card0-crtc6]
root         259       2  0 15:49 ?        00:00:00 [card0-crtc7]
root         277       1  0 15:49 ?        00:00:00 /lib/systemd/systemd-udevd
root         395       2  0 15:49 ?        00:00:00 [cryptd]
root         396       2  0 15:49 ?        00:00:00 [iprt-VBoxWQueue]
systemd+     529       1  0 15:49 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     530       1  0 15:49 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         533       1  0 15:49 ?        00:00:00 /sbin/auditd
root         586       1  0 15:49 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         587       1  0 15:49 ?        00:00:00 /usr/sbin/acpid
avahi        590       1  0 15:49 ?        00:00:00 avahi-daemon: running [student-VirtualBox.local]
root         591       1  0 15:49 ?        00:00:00 /usr/sbin/cron -f
message+     593       1  0 15:49 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         594       1  0 15:49 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         602       1  0 15:49 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         603       1  0 15:49 ?        00:00:02 /usr/lib/policykit-1/polkitd --no-debug
syslog       605       1  0 15:49 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         608       1  0 15:49 ?        00:00:01 /usr/lib/snapd/snapd
root         609       1  0 15:49 ?        00:00:00 /usr/libexec/switcheroo-control
root         612       1  0 15:49 ?        00:00:00 /lib/systemd/systemd-logind
root         621       1  0 15:49 ?        00:00:00 /usr/lib/udisks2/udisksd
root         623       1  0 15:49 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        625     590  0 15:49 ?        00:00:00 avahi-daemon: chroot helper
root         721       1  0 15:49 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         732       1  0 15:49 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         901       1  0 15:49 ?        00:00:00 /usr/bin/VBoxDRMClient
root         910       1  0 15:49 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         913       1  0 15:49 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         942       1  0 15:49 ?        00:00:00 /usr/sbin/gdm3
whoopsie     954       1  0 15:49 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     962       1  0 15:49 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     964       1  0 15:49 ?        00:00:00 /usr/sbin/kerneloops
rtkit       1068       1  0 15:49 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1167       1  0 15:49 ?        00:00:00 /usr/lib/upower/upowerd
colord      1382       1  0 15:49 ?        00:00:00 /usr/libexec/colord
root        1402     942  0 15:50 ?        00:00:00 gdm-session-worker [pam/gdm-password]
student     1412       1  0 15:50 ?        00:00:00 /lib/systemd/systemd --user
student     1413    1412  0 15:50 ?        00:00:00 (sd-pam)
student     1418    1412  0 15:50 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
student     1420    1412  0 15:50 ?        00:00:00 /usr/libexec/tracker-miner-fs
student     1423       1  0 15:50 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
student     1427    1412  0 15:50 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
student     1431    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfsd
student     1436    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
student     1451    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
student     1461    1402  0 15:50 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
student     1463    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
student     1468    1412  0 15:50 ?        00:00:00 /usr/libexec/goa-daemon
